,Unnamed: 0,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot
409,3241,Pierre-Luc Dubois,8479400,L,26,82,20.0,66.0,29.0,17.0,17.299796747967477,0.8048780487804879,0.5609756097560976,0.2439024390243902,286.0,0.92002,76.0,0.28737766,24.0,0.43337864,36.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479400.png
410,3246,Jake Bean,8479402,D,26,64,2.0,7.0,2.0,3.0,15.0890625,0.109375,0.078125,0.03125,220.0,0.67000955,55.0,0.03849083,4.0,0.13473101,12.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8479402.png
411,3253,Jesper Bratt,8479407,L,26,81,21.0,88.0,36.0,31.0,18.948148148148142,1.0864197530864197,0.8271604938271605,0.2592592592592592,240.0,0.9373451,77.0,0.32215047,27.0,0.634386,53.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479407.png
412,3259,Mikhail Sergachev,8479410,D,26,77,15.0,53.0,22.0,16.0,25.11688311688312,0.6883116883116883,0.4935064935064935,0.1948051948051948,240.0,0.8590806,71.0,0.13984565,12.0,0.53669614,45.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8479410.png
413,3264,Nathan Bastian,8479414,R,27,59,4.0,10.0,4.0,2.0,10.937570621468929,0.1694915254237288,0.1016949152542373,0.0677966101694915,240.0,0.6224035,52.0,0.08453902,7.0,0.10198167,9.0,https://assets.nhle.com/mugs/nhl/20242025/NJD/8479414.png
414,3275,Tage Thompson,8479420,C,27,76,44.0,72.0,18.0,10.0,18.756359649122807,0.9473684210526316,0.3684210526315789,0.5789473684210527,265.0,0.86831284,72.0,0.4699848,39.0,0.45968014,38.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png
415,3278,Jacob Moverare,8479421,D,26,49,1.0,8.0,2.0,5.0,11.858843537414966,0.1632653061224489,0.1428571428571428,0.0204081632653061,249.0,0.49767566,41.0,0.026127318,3.0,0.085626125,8.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8479421.png
416,3287,Filip Hronek,8479425,D,27,61,5.0,33.0,12.0,16.0,23.894262295081965,0.5409836065573771,0.4590163934426229,0.081967213114754,233.0,0.85825676,71.0,0.07853307,7.0,0.4166245,35.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8479425.png
417,3297,Troy Stecher,8479442,D,30,66,3.0,7.0,3.0,1.0,13.873484848484848,0.106060606060606,0.0606060606060606,0.0454545454545454,259.0,0.7105755,59.0,0.029404229,3.0,0.11485292,10.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8479442.png
418,3319,Brandon Duhaime,8479520,R,27,82,9.0,21.0,7.0,5.0,13.34369918699187,0.2560975609756097,0.1463414634146341,0.1097560975609756,286.0,0.83631253,69.0,0.111847356,10.0,0.1472909,13.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479520.png
419,3322,Lucas Carlsson,8479523,D,27,13,1.0,4.0,2.0,1.0,19.362820512820512,0.3076923076923077,0.2307692307692307,0.0769230769230769,208.0,0.39110994,33.0,0.03290606,3.0,0.120513804,10.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479523.png
420,3327,Ross Colton,8479525,C,28,61,16.0,29.0,8.0,5.0,14.420765027322403,0.4754098360655737,0.2131147540983606,0.2622950819672131,273.0,0.8222481,68.0,0.21069321,18.0,0.19935934,17.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8479525.png
421,3331,Joona Koppanen,8479533,L,26,11,1.0,1.0,0.0,0.0,13.383333333333333,0.0909090909090909,0.0,0.0909090909090909,242.0,0.3538686,30.0,0.053233694,5.0,0.10053917,9.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8479533.png
