,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
659,Brendan Brisson,8482153,C,23,9,0.0,0.0,0.0,0.0,9.866666666666667,0.0,0.0,0.0,274.0,0.2895344,24.0,0.05768867,5.0,0.12483824,11.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482153.png,0.24404915,0.059442032,0.122207664,0.2460906,0.06392213,0.10954603,21.0,5.0,11.0,21.0,6.0,9.0
660,Alex Laferriere,8482155,R,23,77,19.0,42.0,16.0,7.0,16.53181818181818,0.5454545454545454,0.2987012987012987,0.2467532467532467,249.0,0.934201,77.0,0.24126457,20.0,0.3484901,29.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482155.png,0.93731487,0.26414174,0.33725622,0.89278305,0.27881062,0.3142548,77.0,22.0,28.0,74.0,23.0,26.0
661,Will Cuylle,8482157,L,22,82,20.0,45.0,13.0,12.0,15.077439024390245,0.5487804878048781,0.3048780487804878,0.2439024390243902,255.0,0.9296334,77.0,0.22144243,19.0,0.31368986,26.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482157.png,0.8417897,0.19732867,0.24908376,0.85360247,0.15837316,0.20463535,70.0,17.0,21.0,70.0,13.0,17.0
662,Tyson Foerster,8482159,R,22,81,25.0,43.0,9.0,9.0,16.862551440329216,0.5308641975308642,0.2222222222222222,0.3086419753086419,232.0,0.9271789,77.0,0.24913494,21.0,0.35089839,29.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482159.png,0.8675371,0.19720739,0.24771814,0.9506203,0.2169607,0.27507535,72.0,17.0,21.0,78.0,18.0,23.0
663,Shakir Mukhamadullin,8482166,D,22,30,2.0,9.0,3.0,4.0,18.06722222222222,0.3,0.2333333333333333,0.0666666666666666,208.0,0.48747423,40.0,0.04430268,4.0,0.1754637,15.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8482166.png,0.58320594,0.03555203,0.15878257,0.46794096,0.020491904,0.12608722,48.0,3.0,14.0,39.0,2.0,11.0
664,Landon Slaggert,8482172,L,22,33,2.0,6.0,4.0,0.0,12.307575757575757,0.1818181818181818,0.1212121212121212,0.0606060606060606,224.0,0.480764,40.0,0.086734325,8.0,0.11785027,10.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482172.png,0.5687857,0.12325476,0.13019809,0.4978999,0.12694368,0.11592343,47.0,11.0,11.0,41.0,11.0,10.0
665,JJ Peterka,8482175,R,22,77,27.0,68.0,18.0,23.0,18.183982683982684,0.8831168831168831,0.5324675324675324,0.3506493506493506,265.0,0.9146431,76.0,0.3248272,27.0,0.44878098,37.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482175.png,0.8907793,0.301309,0.38116485,0.89165056,0.31962368,0.36551657,74.0,25.0,32.0,74.0,27.0,30.0
666,Wyatt Kaiser,8482176,D,22,57,4.0,8.0,2.0,2.0,18.116959064327485,0.1403508771929824,0.0701754385964912,0.0701754385964912,224.0,0.59622604,49.0,0.044258792,4.0,0.17060198,14.0,https://assets.nhle.com/mugs/nhl/20242025/CHI/8482176.png,0.59000975,0.028354762,0.15562037,0.4612667,0.026004022,0.13849534,49.0,3.0,13.0,38.0,3.0,12.0
667,Marat Khusnutdinov,8482177,C,22,75,5.0,12.0,4.0,3.0,12.085111111111113,0.16,0.0933333333333333,0.0666666666666666,222.0,0.61557615,51.0,0.06718572,6.0,0.14123519,12.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8482177.png,0.5408503,0.07871437,0.15030728,0.6104433,0.09876703,0.14963245,45.0,7.0,13.0,51.0,9.0,13.0
668,Gage Goncalves,8482201,C,23,60,8.0,20.0,8.0,4.0,12.793611111111112,0.3333333333333333,0.2,0.1333333333333333,292.0,0.6789129,56.0,0.12596859,11.0,0.17082642,15.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8482201.png,0.76573104,0.11996458,0.2005585,0.76417077,0.1214867,0.1884937,63.0,10.0,17.0,63.0,10.0,16.0
